audit_id,schedule_id,method,belief_state,source_frontier,selected_frontier,exact_equal,locked_tolerance_preserved
annual_walk_forward_v2,uniform_cardinality,frontier_only,1,2651908945912743//18014398509481984,2651908945912743//18014398509481984,true,true
annual_walk_forward_v2,uniform_cardinality,frontier_only,2,2055274462529069//9007199254740992,2055274462529069//9007199254740992,true,true
annual_walk_forward_v2,uniform_cardinality,frontier_only,3,1625639946406095//4503599627370496,1625639946406095//4503599627370496,true,true
annual_walk_forward_v2,uniform_cardinality,frontier_only,4,4269396466987093//9007199254740992,4269396466987093//9007199254740992,true,true
annual_walk_forward_v2,uniform_cardinality,frontier_only,5,2607260043497465//4503599627370496,2607260043497465//4503599627370496,true,true
annual_walk_forward_v2,nonshared_modules,global_safe,1,2651908945912743//18014398509481984,2651908945912743//18014398509481984,true,true
annual_walk_forward_v2,nonshared_modules,global_safe,2,2055274462529069//9007199254740992,2055274462529069//9007199254740992,true,true
annual_walk_forward_v2,nonshared_modules,global_safe,3,1625639946406095//4503599627370496,1625639946406095//4503599627370496,true,true
annual_walk_forward_v2,nonshared_modules,global_safe,4,4269396466987093//9007199254740992,4269396466987093//9007199254740992,true,true
annual_walk_forward_v2,nonshared_modules,global_safe,5,2607260043497465//4503599627370496,2607260043497465//4503599627370496,true,true
annual_walk_forward_v2,nonshared_modules,stepwise_safe,1,2651908945912743//18014398509481984,2651908945912743//18014398509481984,true,true
annual_walk_forward_v2,nonshared_modules,stepwise_safe,2,2055274462529069//9007199254740992,2055274462529069//9007199254740992,true,true
annual_walk_forward_v2,nonshared_modules,stepwise_safe,3,1625639946406095//4503599627370496,1625639946406095//4503599627370496,true,true
annual_walk_forward_v2,nonshared_modules,stepwise_safe,4,4269396466987093//9007199254740992,4269396466987093//9007199254740992,true,true
annual_walk_forward_v2,nonshared_modules,stepwise_safe,5,2607260043497465//4503599627370496,2607260043497465//4503599627370496,true,true
annual_walk_forward_v2,nonshared_modules,frontier_only,1,2651908945912743//18014398509481984,2651908945912743//18014398509481984,true,true
